L1,L2,L3
Personal consumption expenditures,Goods,Durable goods
Personal consumption expenditures,Goods,Nondurable goods
Personal consumption expenditures,Services,Services
Gross private domestic investment,Fixed investment,Nonresidential
Gross private domestic investment,Fixed investment,Residential
Gross private domestic investment,Change in private inventories,Change in private inventories
Net exports of goods and services,Exports,Goods
Net exports of goods and services,Exports,Services
Net exports of goods and services,Imports,Goods
Net exports of goods and services,Imports,Services
Government consumption expenditures and gross investment,Federal,National defense
Government consumption expenditures and gross investment,Federal,Nondefense
Government consumption expenditures and gross investment,State and local,State and local